Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Segment	Publications	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	date	country	strain	virus	latitude	longitude
GQ443244.1	Rift Valley fever virus	GenBank						25-JUL-2016	0889-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		unknown					Homo sapiens	serum	26-Mar-2008			Rift Valley fever virus strain 0889-08 segment M glycoprotein G2 gene, partial cds	2008-03-26		0889-08	rvf		
PP746396.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P36	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1658	partial		S					Bos taurus		2022-06-25			Rift Valley fever virus strain Rwanda2022P36 nonstructural protein gene, complete cds; and nucleocapsid gene, partial cds	2022-06-25		Rwanda2022P36	rvf		
GU135848.1	Rift Valley fever virus	GenBank						03-APR-2012	FI-2	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	564	partial		unknown					Anopheles coustani	unfed female mosquitos	19-Dec-2008			Rift Valley fever virus strain FI-2 segment L polymerase gene, partial cds	2008-12-19		FI-2	rvf		
MG897464.1	Rift Valley fever virus	GenBank						25-NOV-2018	Niger 1	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	741	partial		unknown			Niger		Homo sapiens	serum	2016			Rift Valley fever virus strain Niger 1 NSs gene, partial cds	2016	Niger	Niger 1	rvf	17.6078	8.0817
MG953421.1	Rift Valley fever virus	GenBank						30-JAN-2019	201601502	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6366	partial		L					Homo sapiens		09-Jun-2016			Rift Valley fever virus strain 201601502 segment L polymerase gene, partial cds	2016-06-09		201601502	rvf		
ON060790.1	Rift Valley fever virus	GenBank						25-MAR-2023	2019000825_L|Uganda|2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6392	partial		L			Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 2019000825_L|Uganda|2018 RNA-dependent RNA polymerase gene, complete cds	2018	Uganda	2019000825_L|Uganda|2018	rvf	1.3733	32.2903
GQ443188.1	Rift Valley fever virus	GenBank						25-JUL-2016	0693-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	564	partial		unknown					Homo sapiens	serum	11-Mar-2008			Rift Valley fever virus strain 0693-08 segment L polymerase gene, partial cds	2008-03-11		0693-08	rvf		
MG659755.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA220/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA220/10 segment M, complete sequence	2010		SA220/10	rvf		
PG403408.1	synthetic construct	GenBank						28-FEB-2025					other DNA	17	partial		unknown										JP 2023543101-A/17: ATTENUATED VARIANT OF THE RIFT VALLEY FEVER VIRUS, COMPOSITION COMPRISING SAME, AND USES THEREOF			PG403408.1	rvf		
ON060820.1	Rift Valley fever virus	GenBank						25-MAR-2023	201902764_M|Uganda|2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	partial		M			Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 201902764_M|Uganda|2018 glycoprotein gene, complete cds	2018	Uganda	201902764_M|Uganda|2018	rvf	1.3733	32.2903
KX503062.1	Rift Valley fever virus	GenBank						17-JAN-2017	FLI_MR202/13_S	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	371	partial		unknown					cattle	serum	21-Mar-2013			Rift Valley fever virus isolate FLI_MR202/13_S nucleocapsid protein gene, partial cds	2013-03-21		FLI_MR202/13_S	rvf		
KY196502.1	Rift Valley fever virus	GenBank						13-NOV-2020	J40/6	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1692	complete		S					African buffalo		2008			Rift Valley fever virus isolate J40/6 segment S, complete sequence	2008		J40/6	rvf		
KF717588.1	Rift Valley fever virus	GenBank						25-DEC-2013	211856	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	680	partial		unknown					Homo sapiens	human serum	05-Dec-2010			Rift Valley fever virus isolate 211856 segment M glycoprotein (G2) gene, partial cds	2010-12-05		211856	rvf		
EU574011.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007002445	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					bovine		05-Feb-2007			Rift Valley fever virus strain 2007002445 segment L, complete sequence	2007-02-05		2007002445	rvf		
KY366331.1	Rift Valley fever virus	GenBank						29-JUN-2017	SH272655	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1468	partial		S					Homo sapiens	serum	2015			Rift Valley fever virus isolate SH272655 nucleocapsid genes, complete cds	2015		SH272655	rvf		
GQ443202.1	Rift Valley fever virus	GenBank						25-JUL-2016	0859-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	564	partial		unknown					Bos taurus	serum	24-Mar-2008			Rift Valley fever virus strain 0859-08 segment L polymerase gene, partial cds	2008-03-24		0859-08	rvf		
EU574060.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007003081	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					bovine		27-Feb-2007			Rift Valley fever virus strain 2007003081 segment S, complete sequence	2007-02-27		2007003081	rvf		
MG659934.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA322/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA322/10 segment S, complete sequence	2010		SA322/10	rvf		
GQ443231.1	Rift Valley fever virus	GenBank						25-JUL-2016	0846-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		unknown					Homo sapiens	serum	23-Mar-2008			Rift Valley fever virus strain 0846-08 segment M glycoprotein G2 gene, partial cds	2008-03-23		0846-08	rvf		
GQ443211.1	Rift Valley fever virus	GenBank						25-JUL-2016	1586-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	564	partial		unknown					Homo sapiens	serum	15-Apr-2008			Rift Valley fever virus strain 1586-08 segment L polymerase gene, partial cds	2008-04-15		1586-08	rvf		
GQ443230.1	Rift Valley fever virus	GenBank						25-JUL-2016	0845-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		unknown					Homo sapiens	serum	23-Mar-2008			Rift Valley fever virus strain 0845-08 segment M glycoprotein G2 gene, partial cds	2008-03-23		0845-08	rvf		
MG659878.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA1098/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SA1098/10 segment L, complete sequence	2010		SA1098/10	rvf		
PP746319.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P323	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6232	partial		L					Bos taurus		2022-09-02			Rift Valley fever virus strain Rwanda2022P323 polymerase gene, partial cds	2022-09-02		Rwanda2022P323	rvf		
GQ443145.1	Rift Valley fever virus	GenBank						25-JUL-2016	0848-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		unknown					Homo sapiens	serum	23-Mar-2008			Rift Valley fever virus strain 0848-08 segment S nonstructural protein gene, partial cds	2008-03-23		0848-08	rvf		
OQ077992.1	Rift Valley fever virus	GenBank						01-FEB-2023	Ug2012-CVR1	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	324	partial		unknown					Homo sapiens	blood	2012			MAG: Rift Valley fever virus isolate Ug2012-CVR1 segment L, partial sequence	2012		Ug2012-CVR1	rvf		
PP746351.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P2	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3517	partial		M					Bos taurus		2022-06-07			Rift Valley fever virus strain Rwanda2022P2 glycoprotein gene, partial cds	2022-06-07		Rwanda2022P2	rvf		
OM744365.1	Rift Valley fever virus	GenBank						20-MAR-2022	DVS-230	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3882	complete		M					Bos taurus		15-Jul-2021			Rift Valley fever virus strain DVS-230 segment M, complete sequence	2021-07-15		DVS-230	rvf		
MG649054.1	Rift Valley fever virus	GenBank						30-DEC-2018	RVFV-BJ01-Sera-6d/2016	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3878	complete		M					Homo sapiens	serum	21-Jun-2016			Rift Valley fever virus isolate RVFV-BJ01-Sera-6d/2016 segment M, complete sequence	2016-06-21		RVFV-BJ01-Sera-6d/2016	rvf		
PP746367.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P67	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3596	partial		M					Bos taurus		2022-06-18			Rift Valley fever virus strain Rwanda2022P67 glycoprotein gene, partial cds	2022-06-18		Rwanda2022P67	rvf		
EU574008.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007002820	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Syncerus caffer (buffalo)		09-Feb-2007			Rift Valley fever virus strain 2007002820 segment L, complete sequence	2007-02-09		2007002820	rvf		
PP746373.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P80	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3829	partial		M					Bos taurus		2022-06-28			Rift Valley fever virus strain Rwanda2022P80 glycoprotein gene, partial cds	2022-06-28		Rwanda2022P80	rvf		
KF648861.1	Rift Valley fever virus	GenBank						10-MAR-2014	227603	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	581	partial		unknown					Homo sapiens		02-Nov-2012			Rift Valley fever virus isolate 227603 nonstructural protein (NSs) gene, partial cds	2012-11-02		227603	rvf		
AF134543.1	Rift Valley fever virus	GenBank						26-JUL-2016	H D 48255	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	142	partial		unknown										Rift Valley fever virus S segment strain H D 48255 nucleocapsid protein (N) gene, partial cds			H D 48255	rvf		
GQ443159.1	Rift Valley fever virus	GenBank						25-JUL-2016	0889-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		unknown					Homo sapiens	serum	26-Mar-2008			Rift Valley fever virus strain 0889-08 segment S nonstructural protein gene, partial cds	2008-03-26		0889-08	rvf		
MG659936.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA344/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA344/10 segment S, complete sequence	2010		SA344/10	rvf		
PP746395.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P35	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1677	partial		S					Bos taurus		2022-06-17			Rift Valley fever virus strain Rwanda2022P35 nonstructural protein and nucleocapsid genes, complete cds	2022-06-17		Rwanda2022P35	rvf		
EU574052.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007000224	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					bovine		16-Jan-2007			Rift Valley fever virus strain 2007000224 segment M, complete sequence	2007-01-16		2007000224	rvf		
HM586958.1	Rift Valley fever virus	GenBank						14-APR-2011	KEN/Bar-035/07	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	partial		L					Homo sapiens		30-Jan-2007			Rift Valley fever virus strain KEN/Bar-035/07 polymerase (L) gene, complete cds	2007-01-30		KEN/Bar-035/07	rvf		
JQ068142.1	Rift Valley fever virus	GenBank						24-MAR-2012	Kakamas	Phlebovirus riftense	Phlebovirus	Phenuiviridae	viral cRNA	1691	complete		S					sheep	blood	Oct-2009			Rift Valley fever virus segment S, complete sequence	2009		Kakamas	rvf		
GU135856.1	Rift Valley fever virus	GenBank						03-APR-2012	FI-2	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		unknown					Anopheles coustani	unfed female mosquitos	19-Dec-2008			Rift Valley fever virus strain FI-2 segment M glycoprotein Gn gene, partial cds	2008-12-19		FI-2	rvf		
PP746331.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P67	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6221	partial		L					Bos taurus		2022-06-18			Rift Valley fever virus strain Rwanda2022P67 polymerase gene, partial cds	2022-06-18		Rwanda2022P67	rvf		
MG659924.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA135/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA135/10 segment S, complete sequence	2010		SA135/10	rvf		
EF076021.1	Joa virus	GenBank						14-JUL-2016	Be Ar 371637				viral cRNA	569	partial		unknown										Joa virus strain Be Ar 371637 polyprotein gene, partial cds			Be Ar 371637	rvf		
KX611605.1	Rift Valley fever virus	GenBank						02-OCT-2016	Beijing-01	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		22-Jul-2016			Rift Valley fever virus isolate Beijing-01 segment L, complete sequence	2016-07-22		Beijing-01	rvf		
KY126685.1	Rift Valley fever virus	GenBank						13-NOV-2020	Ar74	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Aedes circumluteolus		1955			Rift Valley fever virus isolate Ar74 segment L, complete sequence	1955		Ar74	rvf		
NC_043207.1	Frijoles virus VP-161A	RefSeq						28-JUN-2019	VP-161A				genomic RNA	574	partial		unknown									PRJNA485481	Frijoles virus VP-161A polyprotein gene, partial cds			VP-161A	rvf		
AF134502.1	Rift Valley fever virus	GenBank						26-JUL-2016	An K6087	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic DNA	738	partial		unknown										Rift Valley fever virus An K6087 M segment G2 (G2) gene, partial cds			An K6087	rvf		
KX944826.1	Rift Valley fever virus	GenBank						25-OCT-2018	M06/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3877	partial		M					bovine		2010			Rift Valley fever virus isolate M06/10 glycoprotein gene, complete cds	2010		M06/10	rvf		
MG659856.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA424/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SA424/10 segment L, complete sequence	2010		SA424/10	rvf		
GQ443222.1	Rift Valley fever virus	GenBank						25-JUL-2016	0428-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		unknown					Homo sapiens	serum	15-Feb-2008			Rift Valley fever virus strain 0428-08 segment M glycoprotein G2 gene, partial cds	2008-02-15		0428-08	rvf		
MG659742.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA93/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA93/10 segment M, complete sequence	2010		SA93/10	rvf		
MG659979.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA327/11	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2011			Rift Valley fever virus isolate SA327/11 segment S, complete sequence	2011		SA327/11	rvf		
PP746342.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P1	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3513	partial		M					Bos taurus		2022-06-01			Rift Valley fever virus strain Rwanda2022P1 glycoprotein gene, partial cds	2022-06-01		Rwanda2022P1	rvf		
ON060831.1	Rift Valley fever virus	GenBank						25-MAR-2023	2020002574_L|Uganda	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6392	partial		L			Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 2020002574_L|Uganda RNA-dependent RNA polymerase gene, complete cds	2018	Uganda	2020002574_L|Uganda	rvf	1.3733	32.2903
MH175204.1	Rift Valley fever virus	GenBank						24-NOV-2018	CFIA-UAP	Phlebovirus riftense	Phlebovirus	Phenuiviridae	viral cRNA	3877	complete		M					Homo sapiens	blood				Rift Valley fever virus isolate CFIA-UAP segment M, complete sequence			CFIA-UAP	rvf		
AF134500.1	Rift Valley fever virus	GenBank						26-JUL-2016	An D106417	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic DNA	731	partial		unknown										Rift Valley fever virus An D106417 M segment G2 (G2) gene, partial cds			An D106417	rvf		
GQ443241.1	Rift Valley fever virus	GenBank						25-JUL-2016	0863-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		unknown					Homo sapiens	serum	25-Mar-2008			Rift Valley fever virus strain 0863-08 segment M glycoprotein G2 gene, partial cds	2008-03-25		0863-08	rvf		
GQ443206.1	Rift Valley fever virus	GenBank						25-JUL-2016	0892-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	564	partial		unknown					Homo sapiens	serum	26-Mar-2008			Rift Valley fever virus strain 0892-08 segment L polymerase gene, partial cds	2008-03-26		0892-08	rvf		
PG403400.1	synthetic construct	GenBank						28-FEB-2025					other DNA	23	partial		unknown										JP 2023543101-A/9: ATTENUATED VARIANT OF THE RIFT VALLEY FEVER VIRUS, COMPOSITION COMPRISING SAME, AND USES THEREOF			PG403400.1	rvf		
MG659789.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA1092/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA1092/10 segment M, complete sequence	2010		SA1092/10	rvf		
PQ436077.1	Rift Valley fever virus	GenBank						18-NOV-2024	CD300/Kabale1-2022	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1580	partial		S					Homo sapiens		2022-03-10			UNVERIFIED: Rift Valley fever virus isolate CD300/Kabale1-2022 segment S nonstructural protein-like gene, partial sequence; and nucleocapsid protein gene, partial cds	2022-03-10		CD300/Kabale1-2022	rvf		
MZ218760.1	Phlebovirus riftense	GenBank						20-SEP-2021	ZH-501	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	714	partial		unknown							1977			Phlebovirus riftense strain ZH-501 polyprotein gene, partial cds	1977		ZH-501	rvf		
MG659799.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA1405/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA1405/10 segment M, complete sequence	2010		SA1405/10	rvf		
MG659803.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA1797/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA1797/10 segment M, complete sequence	2010		SA1797/10	rvf		
PP746359.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P4	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3513	partial		M					Bos taurus		2022-06-07			Rift Valley fever virus strain Rwanda2022P4 glycoprotein gene, partial cds	2022-06-07		Rwanda2022P4	rvf		
PP541457.1	Rift Valley fever virus	GenBank						27-OCT-2024	SH409425	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		17-Nov-2022			Rift Valley fever virus isolate SH409425 segment M, complete sequence	2022-11-17		SH409425	rvf		
EU574045.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007001443	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					bovine		31-Jan-2007			Rift Valley fever virus strain 2007001443 segment M, complete sequence	2007-01-31		2007001443	rvf		
