Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Segment	Publications	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	date	country	strain	virus	accession	latitude	longitude
ON872481.1	Rift Valley fever virus	GenBank			de Glanville,W.A., Allan,K.J., Nyarobi,J.M., Thomas,K.M., Lankester,F., Kibona,T., Claxton,J.R., Brennan,B., Carter,R.W., Crump,J.A., Halliday,J.E.B., Ladbury,G., Mmbaga,B.T., Mramba,F., Nyasebwa,O.M., Rubach,M.P., Rostal,M.K., Sanka,P., Swai,E.S., Szemiel,A.M., Willett,B. and Cleaveland,S.	Institute of Biodiversity, Animal Health and Comparative Medicine, University of Glasgow, Bearsden Road, Glasgow G61 1QH, United Kingdom		17-NOV-2022	SEBI-051	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	833	partial				Tanzania	Tanzania		cattle		16-May-2018			Rift Valley fever virus isolate SEBI-051 nonstructural protein gene, partial cds	2018-05-16	Tanzania	SEBI-051	rvf	ON872481.1	-6.369	34.8888
HM587118.1	Rift Valley fever virus	GenBank			Grobbelaar,A., Swanepoel,R. and Paweska,J.T.	NICD, 1 Modderfontein Road, Johannesburg 2131, South Africa		09-DEC-2011	KEN56/B2653/IB8	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		M		Kenya	Kenya		bovine		1963			Rift Valley fever virus isolate KEN56/B2653/IB8 segment M glycoprotein G2 gene, partial cds	1963	Kenya	KEN56/B2653/IB8	rvf	HM587118.1	0.0236	37.9062
KF648852.1	Rift Valley fever virus	GenBank			Sow,A., Faye,O., Ba,Y., Ba,H., Diallo,D., Faye,O., Loucoubar,C., Boushab,M., Barry,Y., Diallo,M. and Sall,A.A.	Arbovirus Unit, Institut Pasteur Dakar, 36 Avenue Pasteur, Dakar 220, Senegal		10-MAR-2014	227598	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	680	partial		M		Mauritania	Mauritania		Homo sapiens		02-Nov-2012			Rift Valley fever virus isolate 227598 nonstructural glycoprotein (G2) gene, partial cds	2012-11-02	Mauritania	227598	rvf	KF648852.1	21.0079	-10.9408
EU312117.1	Rift Valley fever virus	GenBank			Aitken,S.C., Paweska,J.T. and Grobbelaar,A.	Special Pathogens Unit, National Institute for Communicable Diseases, Private Bag X4, Sandringham, Johannesburg, Gauteng 2131, South Africa		30-NOV-2009	ArD38661SEN81	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Senegal	Senegal		Aedes dalzieli (mosquito)		1981			Rift Valley fever virus strain ArD38661SEN81 segment S, complete sequence	1981	Senegal	ArD38661SEN81	rvf	EU312117.1	14.4974	-14.4524
JN995256.1	Rift Valley fever virus	GenBank			Soumare,P.O.L., Freire,C.M., Faye,O., Diallo,M., Zanotto,P.M.A. and Sall,A.	Department of Microbiology, Laboratory of Molecular Evolution and Bioinformatics, Biomedical Sciences Institute, University of Sao Paulo, Prof Lineu Prestes Ave. 1374, Sao Paulo, Sao Paulo 05508-900, Brazil		15-MAY-2012	S223_HM_MR_TE_1987	Phlebovirus riftense	Phlebovirus	Phenuiviridae	viral cRNA	601	partial				Mauritania: Terg	Mauritania		Homo sapiens		1987			Rift Valley fever virus strain S223_HM_MR_TE_1987 non-structural protein gene, partial cds	1987	Mauritania	S223_HM_MR_TE_1987	rvf	JN995256.1	21.0079	-10.9408
MW316060.1	Rift Valley fever virus	GenBank			Anthony,T., van Schalkwyk,A., Romito,M., Odendaal,L., Clift,S.J. and Davis,A.S.	Vaccine and Diagnostic development, Agricultural Research Council - Onderstepoort Veterinary Institute, Old Soutpan road, Onderstepoort, Pretoria, Gauteng 0110, South Africa		07-JUN-2021	RV2655	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	498	partial		M		South Africa	South Africa		alpacas		2018			Rift Valley fever virus isolate RV2655 glycoprotein G2 gene, partial cds	2018	South Africa	RV2655	rvf	MW316060.1	-30.5595	22.9375
KX944846.1	Rift Valley fever virus	GenBank			Maluleke,M.R., Phosiwa,M., Lubisi,B.A., van Schalkwyk,A., Michuki,G., Kegakilwe,P.S., Kemp,S.J. and Majiwa,P.A.O.	Molecular Epidemiology and Diagnostic, Agricultural Research Council - Onderstepoort Veterinary Institute, 100 Old Soutpan Road, Pretoria, Gauteng 0110, South Africa		25-OCT-2018	M80/08/2	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3879	partial		M		South Africa	South Africa		bovine		2008			Rift Valley fever virus isolate M80/08/2 glycoprotein gene, complete cds	2008	South Africa	M80/08/2	rvf	KX944846.1	-30.5595	22.9375
HM587101.1	Rift Valley fever virus	GenBank			Grobbelaar,A., Swanepoel,R. and Paweska,J.T.	NICD, 1 Modderfontein Road, Johannesburg 2131, South Africa		09-DEC-2011	Ar20364	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		M		South Africa	South Africa		Culex zombaensis		1981			Rift Valley fever virus isolate Ar20364 segment M glycoprotein G2 gene, partial cds	1981	South Africa	Ar20364	rvf	HM587101.1	-30.5595	22.9375
PP747241.1	Rift Valley fever virus	GenBank			Juma,J.A., Nsengimana,I., Mwangi,R., Nyamota,R., Konongoi,S.L., Roesel,K., Gasana,M.N., Ingabire,A., Uwibambe,E., Ndayisenga,F., Mavunyi,C.M., Hazikimana,E., Hazikimana,J.N., Eastwood,G., Chengula,A., Kasanga,C.J., Bett,B. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		15-JAN-2025	Rwanda2018NG10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1612	partial		S		Rwanda	Rwanda		Bos taurus		01-Jan-2018			Rift Valley fever virus strain Rwanda2018NG10 nonstructural protein and nucleocapsid genes, complete cds	2018-01-01	Rwanda	Rwanda2018NG10	rvf	PP747241.1	-1.9403	29.8739
AF134791.1	Rift Valley fever virus	GenBank			Sall,A.A., Zanotto,P.M., Sene,O.K., Digoutte,H.G., Thiogane,Y. and Bouloy,M.	Laboratoire des Bunyavirides, Institute Paster de Dakar, BP 220, Dakar, Senegal		26-JUL-2016	Ar B 1976	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	129	partial												Rift Valley fever virus strain Ar B 1976 polymerase (L) gene, partial cds			Ar B 1976	rvf	AF134791.1		
JA430226.1	Rift Valley fever virus	GenBank			BRENNAN,B. and ELLIOT,R.M.			11-SEP-2011		Phlebovirus riftense	Phlebovirus	Phenuiviridae	unassigned DNA	23	partial												Sequence 4 from Patent WO2011095760			JA430226.1	rvf	JA430226.1		
JN995273.1	Rift Valley fever virus	GenBank			Soumare,P.O.L., Freire,C.M., Faye,O., Diallo,M., Zanotto,P.M.A. and Sall,A.	Department of Microbiology, Laboratory of Molecular Evolution and Bioinformatics, Biomedical Sciences Institute, University of Sao Paulo, Prof Lineu Prestes Ave. 1374, Sao Paulo, Sao Paulo 05508-900, Brazil		15-MAY-2012	S29_ARMcx_MR_AA_1998	Phlebovirus riftense	Phlebovirus	Phenuiviridae	viral cRNA	601	partial				Mauritania: Ayoun El Atrouss	Mauritania		Culex poicilipes		1998			Rift Valley fever virus strain S29_ARMcx_MR_AA_1998 non-structural protein gene, partial cds	1998	Mauritania	S29_ARMcx_MR_AA_1998	rvf	JN995273.1	21.0079	-10.9408
MG659867.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA638/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA638/10 segment L, complete sequence	2010	South Africa	SA638/10	rvf	MG659867.1	-30.5595	22.9375
KY196497.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1796/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1796/10 segment S, complete sequence	2010	South Africa	SA1796/10	rvf	KY196497.1	-30.5595	22.9375
OM519310.1	Rift Valley fever virus	GenBank			Oragwa,A.O., Obishakin,E.T. and Oluwayelu,D.O.	Veterinary Microbiology, University of Jos, Bauchi Road Campus, Jos, Plateau State 930242, Nigeria		13-DEC-2022	NGR_2021_03	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	624	partial				Nigeria: Benue State	Nigeria		Bos taurus	serum	26-Mar-2021			Rift Valley fever virus isolate NGR_2021_03 NSs protein gene, partial cds	2021-03-26	Nigeria	NGR_2021_03	rvf	OM519310.1	9.082	8.6753
MG659840.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA206/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA206/10 segment L, complete sequence	2010	South Africa	SA206/10	rvf	MG659840.1	-30.5595	22.9375
KY126691.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA129/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA129/10 segment M, complete sequence	2010	South Africa	SA129/10	rvf	KY126691.1	-30.5595	22.9375
PP746426.1	Rift Valley fever virus	GenBank			Konongoi,S.L., Juma,J.A., Roesel,K., Bett,B. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		12-FEB-2025	J8	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6251	partial		L		Kenya: Baringo	Kenya		Homo sapiens		01-Jan-2007			Rift Valley fever virus strain J8 polymerase gene, partial cds	2007-01-01	Kenya	J8	rvf	PP746426.1	0.0236	37.9062
DQ380174.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	763/70	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Zimbabwe: Salisbury	Zimbabwe		bovine	fetus	1970			Rift Valley fever virus strain 763/70 segment S, complete sequence	1970	Zimbabwe	763/70	rvf	DQ380174.1	-19.0154	29.1549
PP747230.1	Rift Valley fever virus	GenBank			Juma,J.A., Onwonga,A.A., Nsengimana,I., Konongoi,S.L., Dobi,P., Muli,C., Nyamota,R., Ongus,J., Bett,B. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		15-JAN-2025	AM-M1	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6232	partial		L		Kenya: Kiambu	Kenya		Bos taurus		16-Jan-2021			Rift Valley fever virus strain AM-M1 polymerase gene, partial cds	2021-01-16	Kenya	AM-M1	rvf	PP747230.1	0.0236	37.9062
DQ380165.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	ANK-3837	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Guinea	Guinea		Hipposideros caffer (bat)		1981			Rift Valley fever virus strain ANK-3837 segment S, complete sequence	1981	Guinea	ANK-3837	rvf	DQ380165.1	9.9456	-9.6966
KX944869.1	Rift Valley fever virus	GenBank			Maluleke,M.R., Phosiwa,M., Lubisi,B.A., van Schalkwyk,A., Michuki,G., Kegakilwe,P.S., Kemp,S.J. and Majiwa,P.A.O.	Molecular Epidemiology and Diagnostic, Agricultural Research Council - Onderstepoort Veterinary Institute, 100 Old Soutpan Road, Pretoria, Gauteng 0110, South Africa		25-OCT-2018	M80/08/2	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6392	partial		L		South Africa	South Africa		bovine		2008			Rift Valley fever virus isolate M80/08/2 segment L polymerase gene, complete cds	2008	South Africa	M80/08/2	rvf	KX944869.1	-30.5595	22.9375
DQ380164.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	1260/78	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Zimbabwe: Salisbury	Zimbabwe		bovine	fetus	1978			Rift Valley fever virus strain 1260/78 segment S, complete sequence	1978	Zimbabwe	1260/78	rvf	DQ380164.1	-19.0154	29.1549
MG659746.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA103/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA103/10 segment M, complete sequence	2010	South Africa	SA103/10	rvf	MG659746.1	-30.5595	22.9375
KY126668.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA184/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA184/10 segment L, complete sequence	2010	South Africa	SA184/10	rvf	KY126668.1	-30.5595	22.9375
JN995260.1	Rift Valley fever virus	GenBank			Soumare,P.O.L., Freire,C.M., Faye,O., Diallo,M., Zanotto,P.M.A. and Sall,A.	Department of Microbiology, Laboratory of Molecular Evolution and Bioinformatics, Biomedical Sciences Institute, University of Sao Paulo, Prof Lineu Prestes Ave. 1374, Sao Paulo, Sao Paulo 05508-900, Brazil		15-MAY-2012	S266_ARBkvx_SN_BA_1993	Phlebovirus riftense	Phlebovirus	Phenuiviridae	viral cRNA	601	partial				Senegal: Barkedji	Senegal		Aedes vexans		1993			Rift Valley fever virus strain S266_ARBkvx_SN_BA_1993 non-structural protein gene, partial cds	1993	Senegal	S266_ARBkvx_SN_BA_1993	rvf	JN995260.1	14.4974	-14.4524
ON060773.1	Rift Valley fever virus	GenBank			Nyakarahuka,L., Whitmer,S., Klena,J., Balinandi,S.K., Talundzic,E., Alex,T., Jackson,K., Mulei,S., Patel,K., Baluku,J., Grace,A.G., Diana,N., Kamugisha,K., Cossaboom,C., Whitesell,A., Carson,T., Graziano,J., Montomery,J., Stuart,N., Lutwama,J. and Shoemaker,T.R.	VSPB, CDC, 1600 Clifton Road, Atlanta, GA 30333, USA		25-MAR-2023	2019000825_M|Uganda|2019	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3876	partial		M		Uganda	Uganda		Homo sapiens		2019			Rift Valley fever virus isolate 2019000825_M|Uganda|2019 glycoprotein gene, complete cds	2019	Uganda	2019000825_M|Uganda|2019	rvf	ON060773.1	1.3733	32.2903
AF134793.1	Rift Valley fever virus	GenBank			Sall,A.A., Zanotto,P.M., Sene,O.K., Digoutte,H.G., Thiogane,Y. and Bouloy,M.	Laboratoire des Bunyavirides, Institute Paster de Dakar, BP 220, Dakar, Senegal		26-JUL-2016	Ar D 104769	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	129	partial												Rift Valley fever virus strain Ar D 104769 polymerase (L) gene, partial cds			Ar D 104769	rvf	AF134793.1		
EU312139.1	Rift Valley fever virus	GenBank			Aitken,S.C., Paweska,J.T. and Grobbelaar,A.	Special Pathogens Unit, National Institute for Communicable Diseases, Private Bag X4, Sandringham, Johannesburg, Gauteng 2131, South Africa		30-NOV-2009	SPU2201KEN07	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Kenya	Kenya		Homo sapiens		2007			Rift Valley fever virus strain SPU2201KEN07 segment S, complete sequence	2007	Kenya	SPU2201KEN07	rvf	EU312139.1	0.0236	37.9062
JQ820486.1	Rift Valley fever virus	GenBank			Aradaib,I.E., Erickson,B.R., Khristova,M.L., Karsany,M.E., Elageb,R.M., Elkhidir,I.M., Elbashir,M.I. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		26-JAN-2013	Sudan 28-2010	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6400	complete		L		Sudan: Gezira State	Sudan		Homo sapiens	human sera	Oct-2010			Rift Valley fever virus strain Sudan 28-2010 segment L, complete sequence	2010	Sudan	Sudan 28-2010	rvf	JQ820486.1	12.8628	30.2176
DQ380143.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	2250/74	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Zimbabwe: Beatrice	Zimbabwe		bovine	fetus	1974			Rift Valley fever virus strain 2250/74 segment S, complete sequence	1974	Zimbabwe	2250/74	rvf	DQ380143.1	-19.0154	29.1549
GU135840.1	Rift Valley fever virus	GenBank			Reynes,J.-M., Elissa,N. and Ratovonjato,J.	Centre National de Reference Pour les Arbovirus et Virus Responsables de Fievres Hemorragiques, Institut Pasteur de Madagascar, Route de l'Institut Pasteur, Antananarivo 101, Madagascar		03-APR-2012	FI-2	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		S		Madagascar: Ampandrambato, Sahambavy, Fianarantsoa II	Madagascar		Anopheles coustani	unfed female mosquitos	19-Dec-2008			Rift Valley fever virus strain FI-2 segment S nonstructural protein gene, partial cds	2008-12-19	Madagascar	FI-2	rvf	GU135840.1	-18.7669	46.8691
PP746347.1	Rift Valley fever virus	GenBank			Juma,J.A., Nsengimana,I., Mwangi,R., Nyamota,R., Konongoi,S.L., Roesel,K., Gasana,M.N., Ingabire,A., Uwibambe,E., Ndayisenga,F., Mavunyi,C.M., Hazikimana,E., Hazikimana,J.N., Eastwood,G., Chengula,A., Kasanga,C.J., Bett,B. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		22-AUG-2024	Rwanda2022P11	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3606	partial		M		Rwanda	Rwanda		Bos taurus		2022-06-09			Rift Valley fever virus strain Rwanda2022P11 glycoprotein gene, partial cds	2022-06-09	Rwanda	Rwanda2022P11	rvf	PP746347.1	-1.9403	29.8739
MG659762.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA322/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA322/10 segment M, complete sequence	2010	South Africa	SA322/10	rvf	MG659762.1	-30.5595	22.9375
MG659744.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SPU97/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SPU97/10 segment M, complete sequence	2010	South Africa	SPU97/10	rvf	MG659744.1	-30.5595	22.9375
PP746366.1	Rift Valley fever virus	GenBank			Juma,J.A., Nsengimana,I., Mwangi,R., Nyamota,R., Konongoi,S.L., Roesel,K., Gasana,M.N., Ingabire,A., Uwibambe,E., Ndayisenga,F., Mavunyi,C.M., Hazikimana,E., Hazikimana,J.N., Eastwood,G., Chengula,A., Kasanga,C.J., Bett,B. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		22-AUG-2024	Rwanda2022P66	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3840	partial		M		Rwanda	Rwanda		Bos taurus		2022-06-22			Rift Valley fever virus strain Rwanda2022P66 glycoprotein gene, partial cds	2022-06-22	Rwanda	Rwanda2022P66	rvf	PP746366.1	-1.9403	29.8739
